date,kaf
10/31/21,89.651
11/30/21,78.446
12/31/21,124.4593322
1/31/22,122.1946932
2/28/22,317.41
3/31/22,174.648212
4/30/22,348.862
5/31/22,533.2480589
6/30/22,504.069
7/31/22,338.821
8/31/22,342.385
9/30/22,235.5293728
10/31/22,246.9712256
11/30/22,131.0562381
12/31/22,92.981
1/31/23,269.5445468
2/28/23,267.9197326
3/31/23,229.7255854
4/30/23,110.0986123
5/31/23,337.6927378
6/30/23,176.2148196
7/31/23,322.188
8/31/23,272.7416792
9/30/23,67.453
10/31/23,79.272
11/30/23,77.457
12/31/23,84.484
1/31/24,66.887
2/29/24,45.632
3/31/24,9.109
4/30/24,48.583
5/31/24,102.3894571
6/30/24,323.459
7/31/24,45.644
8/31/24,25.728
9/30/24,24.323
10/31/24,134.8928275
11/30/24,11.815
12/31/24,16.079
1/31/25,17.32959927
2/28/25,313.727
3/31/25,222.8778074
4/30/25,187.8128592
5/31/25,230.761437
6/30/25,337.6964771
7/31/25,183.1823263
8/31/25,321.028
9/30/25,108.0089061
10/31/25,79.341
11/30/25,78.341
12/31/25,85.784
1/31/26,67.287
2/28/26,48.182
3/31/26,179.46524
4/30/26,68.736
5/31/26,65.031
6/30/26,121.1715545
7/31/26,311.5517408
8/31/26,64.553
9/30/26,73.98986726
10/31/26,265.8497157
11/30/26,60.325
12/31/26,56.939
1/31/27,310.046
2/28/27,552.4797548
3/31/27,297.409
4/30/27,471.0156065
5/31/27,245.3413189
6/30/27,272.1115344
7/31/27,320.858
8/31/27,231.3649634
9/30/27,296.5584539
10/31/27,124.956674
11/30/27,118.871
12/31/27,84.85
1/31/28,68.971
2/29/28,201.8039958
3/31/28,553.5435373
4/30/28,342.3134391
5/31/28,92.249
6/30/28,136.9231109
7/31/28,239.262927
8/31/28,81.888
9/30/28,86.972
10/31/28,78.684
11/30/28,65.676
12/31/28,71.442
1/31/29,52.455
2/28/29,32.464
3/31/29,35.68
4/30/29,72.628
5/31/29,343.135
6/30/29,344.131
7/31/29,60.358
8/31/29,60.375
9/30/29,38.312
10/31/29,145.5159676
11/30/29,53.06
12/31/29,60.328
1/31/30,59.113
2/28/30,47.206
3/31/30,98.95059805
4/30/30,96.34050402
5/31/30,90.854
6/30/30,276.2940823
7/31/30,82.637
8/31/30,82.725
9/30/30,86.84
10/31/30,77.107
11/30/30,51.476
12/31/30,51.412
1/31/31,40.477
2/28/31,22.008
3/31/31,22.689
4/30/31,59.738
5/31/31,185.9657744
6/30/31,344.443
7/31/31,44.58602579
8/31/31,28.522
9/30/31,88.63622876
10/31/31,207.6771268
11/30/31,12.092
12/31/31,19.948
1/31/32,11.471
2/29/32,107.4494154
3/31/32,105.4023883
4/30/32,121.3028615
5/31/32,179.5334912
6/30/32,342.009
7/31/32,166.9604844
8/31/32,327.7599341
9/30/32,66.424
10/31/32,87.159
11/30/32,77.564
12/31/32,86.136
1/31/33,68.69
2/28/33,40.753
3/31/33,47.302
4/30/33,82.379
5/31/33,103.5419696
6/30/33,343.039
7/31/33,51.926
8/31/33,143.0179733
9/30/33,134.9315982
10/31/33,241.5616374
11/30/33,31.337
12/31/33,38.193
1/31/34,22.428
2/28/34,78.31698556
3/31/34,43.38357233
4/30/34,44.82
5/31/34,34.919
6/30/34,240.9352619
7/31/34,125.2432305
8/31/34,25.946
9/30/34,23.704
10/31/34,234.7616215
11/30/34,14.923
12/31/34,7.113
1/31/35,15.466
2/28/35,48.06137355
3/31/35,261.7168054
4/30/35,349.757
5/31/35,208.6742006
6/30/35,304.7325759
7/31/35,341.489
8/31/35,341.133
9/30/35,122.2638535
10/31/35,148.738
11/30/35,124.0316873
12/31/35,85.55
1/31/36,306.591
2/29/36,532.1145042
3/31/36,227.6745212
4/30/36,343.198
5/31/36,191.1439813
6/30/36,254.1676978
7/31/36,341.248
8/31/36,341.135
9/30/36,244.6932088
10/31/36,78.64
11/30/36,76.931
12/31/36,80.882
1/31/37,66.877
2/28/37,89.14428613
3/31/37,236.7703839
4/30/37,256.9548669
5/31/37,259.2626273
6/30/37,192.217499
7/31/37,342.64
8/31/37,321.023
9/30/37,86.945
10/31/37,81.429
11/30/37,80.757
12/31/37,262.1080276
1/31/38,303.474
2/28/38,416.7560966
3/31/38,638.7112266
4/30/38,483.6083682
5/31/38,544.5906273
6/30/38,476.5018257
7/31/38,197.9286644
8/31/38,246.5248998
9/30/38,260.2936335
10/31/38,168.3064949
11/30/38,77.666
12/31/38,84.618
1/31/39,66.291
2/28/39,41.882
3/31/39,46.32581552
4/30/39,48.37
5/31/39,38.41
6/30/39,123.361
7/31/39,319.9997404
8/31/39,46.145
9/30/39,127.3332233
10/31/39,208.9940207
11/30/39,45.258
12/31/39,41.279
1/31/40,311.817
2/29/40,407.1357472
3/31/40,606.5730658
4/30/40,391.826975
5/31/40,141.3440372
6/30/40,99.551
7/31/40,322.698
8/31/40,309.3849634
9/30/40,177.6341407
10/31/40,78.167
11/30/40,98.54820084
12/31/40,120.0509499
1/31/41,308.84
2/28/41,432.7446511
3/31/41,265.4597016
4/30/41,240.2102843
5/31/41,282.3836556
6/30/41,172.2346162
7/31/41,138.817417
8/31/41,236.9886197
9/30/41,341.617
10/31/41,227.4365148
11/30/41,128.7603342
12/31/41,314.476
1/31/42,392.4408634
2/28/42,547.4895605
3/31/42,174.3117958
4/30/42,347.642
5/31/42,399.4367923
6/30/42,377.303673
7/31/42,192.5794569
8/31/42,247.3356292
9/30/42,321.536
10/31/42,227.070536
11/30/42,237.2511961
12/31/42,271.1113808
1/31/43,483.0673004
2/28/43,375.0122961
3/31/43,725.2107903
4/30/43,322.7495516
5/31/43,110.0903527
6/30/43,173.2591877
7/31/43,230.7435575
8/31/43,257.3671522
9/30/43,322.293
10/31/43,86.816
11/30/43,77.544
12/31/43,85.507
1/31/44,66.99
2/29/44,43.495
3/31/44,45.689
4/30/44,84.279
5/31/44,85.846
6/30/44,197.8369818
7/31/44,322.267
8/31/44,173.7250621
9/30/44,118.6893945
10/31/44,245.57611
11/30/44,66.64
12/31/44,64.37
1/31/45,135.5018857
2/28/45,306.927
3/31/45,117.0925734
4/30/45,158.2212444
5/31/45,185.8439307
6/30/45,211.5702668
7/31/45,342.368
8/31/45,321.025
9/30/45,119.6962798
10/31/45,228.6801378
11/30/45,79.398
12/31/45,309.373
1/31/46,310.9891352
2/28/46,133.8585257
3/31/46,155.76433
4/30/46,260.9642398
5/31/46,173.8083667
6/30/46,331.7672628
7/31/46,322.658
8/31/46,152.7988656
9/30/46,145.0190908
10/31/46,126.5024488
11/30/46,79.959
12/31/46,82.714
1/31/47,64.687
2/28/47,43.082
3/31/47,41.555
4/30/47,82.164
5/31/47,72.381
6/30/47,143.995
7/31/47,204.9610833
8/31/47,169.0443522
9/30/47,114.8583945
10/31/47,81.329
11/30/47,54.011
