date,kaf,kaf,kaf
10/31/21,234.2188837,234.2188837,0
11/30/21,240.6325367,274.4925367,-33.86
12/31/21,0,0,0
1/31/22,946.5671043,1018.337104,-71.7699997
2/28/22,2050.413404,2086.243404,-35.83
3/31/22,253.938385,294.698385,-40.76
4/30/22,225.8155881,225.8155881,0
5/31/22,2364.692529,2364.692529,0
6/30/22,23.37277195,23.37277195,0
7/31/22,286.6191812,286.6191812,0
8/31/22,844.7926274,844.7926274,0
9/30/22,1027.941259,1027.941259,0
10/31/22,444.7403846,444.7403846,0
11/30/22,61.908777,95.768777,-33.86
12/31/22,214.5646905,249.8946905,-35.33
1/31/23,249.5528456,285.9928456,-36.44
2/28/23,951.8800224,987.7100224,-35.83
3/31/23,427.8394302,468.5994302,-40.76
4/30/23,239.2373,239.2373,0
5/31/23,433.4402,433.4402,0
6/30/23,508.1886452,508.1886452,0
7/31/23,656.2969904,656.2969904,0
8/31/23,752.115,752.115,0
9/30/23,361.144915,361.144915,0
10/31/23,363.2207768,363.2207768,0
11/30/23,230.8934799,264.7534799,-33.86
12/31/23,242.878646,278.208646,-35.33
1/31/24,388.4699046,424.9099046,-36.44
2/29/24,455.9384709,491.7684709,-35.83
3/31/24,0,0,0
4/30/24,124.3076627,165.0676627,-40.76
5/31/24,548.3245,548.3245,0
6/30/24,731.2805,731.2805,0
7/31/24,578.8059904,578.8059904,0
8/31/24,628.216298,628.216298,0
9/30/24,469.7241675,469.7241675,0
10/31/24,505.1869934,505.1869934,0
11/30/24,170.8576845,204.7176845,-33.86
12/31/24,410.6198972,445.9498972,-35.33
1/31/25,648.0971456,684.5371456,-36.44
2/28/25,264.5307833,300.3607833,-35.83
3/31/25,1181.832316,1222.592316,-40.76
4/30/25,247.3495881,247.3495881,0
5/31/25,297.9284764,297.9284764,0
6/30/25,587.0577625,587.0577625,0
7/31/25,484.9085,484.9085,0
8/31/25,723.8035,723.8035,0
9/30/25,418.8053288,418.8053288,0
10/31/25,443.7544115,443.7544115,0
11/30/25,159.2725367,193.1325367,-33.86
12/31/25,176.9120586,212.2420586,-35.33
1/31/26,517.9418456,554.3818456,-36.44
2/28/26,2265.692891,2301.522891,-35.83
3/31/26,505.7165621,546.4765621,-40.76
4/30/26,438.5887698,438.5887698,0
5/31/26,999.6572456,999.6572456,0
6/30/26,735.3105,735.3105,0
7/31/26,804.6015,804.6015,0
8/31/26,708.1101274,708.1101274,0
9/30/26,503.0242852,503.0242852,0
10/31/26,519.3748402,519.3748402,0
11/30/26,413.5243844,447.3843844,-33.86
12/31/26,100.0357612,135.3657612,-35.33
1/31/27,456.9868456,493.4268456,-36.44
2/28/27,139.7433737,175.5733737,-35.83
3/31/27,397.8525621,438.6125621,-40.76
4/30/27,270.5885881,270.5885881,0
5/31/27,377.1467702,377.1467702,0
6/30/27,692.9195,692.9195,0
7/31/27,659.1399904,659.1399904,0
8/31/27,705.8455,705.8455,0
9/30/27,383.8304755,383.8304755,0
10/31/27,387.633556,387.633556,0
11/30/27,7.804671341,41.66467134,-33.86
12/31/27,481.8066905,517.1366905,-35.33
1/31/28,512.7398456,549.1798456,-36.44
2/29/28,445.166093,480.996093,-35.83
3/31/28,150.0115536,190.7715536,-40.76
4/30/28,349.8035881,349.8035881,0
5/31/28,279.9365932,279.9365932,0
6/30/28,728.476,728.476,0
7/31/28,790.5095,790.5095,0
8/31/28,803.969,803.969,0
9/30/28,18.11997907,18.11997907,0
10/31/28,281.307168,281.307168,0
11/30/28,0,5.26890701,-5.26890701
12/31/28,303.6031428,367.5242358,-63.921093
1/31/29,421.0869182,457.5269182,-36.44
2/28/29,366.2768891,402.1068891,-35.83
3/31/29,279.4927819,320.2527819,-40.76
4/30/29,531.4088913,531.4088913,0
5/31/29,868.3025464,868.3025464,0
6/30/29,711.8125,711.8125,0
7/31/29,765.2035096,765.2035096,0
8/31/29,631.9764948,631.9764948,0
9/30/29,453.5163288,453.5163288,0
10/31/29,497.6803788,497.6803788,0
11/30/29,107.9810811,141.8410811,-33.86
12/31/29,793.7319052,829.0619052,-35.33
1/31/30,536.6208456,573.0608456,-36.44
2/28/30,472.7217833,508.5517833,-35.83
3/31/30,499.7915621,540.5515621,-40.76
4/30/30,806.2445234,806.2445234,0
5/31/30,821.1422663,821.1422663,0
6/30/30,899.013433,899.013433,0
7/31/30,665.8179904,665.8179904,0
