date,kaf
10/31/21,0
11/30/21,0
12/31/21,40.11108296
1/31/22,638.3731412
2/28/22,2078.608514
3/31/22,0
4/30/22,0
5/31/22,2090.359612
6/30/22,1.1375
7/31/22,0
8/31/22,204.7065
9/30/22,619.16593
10/31/22,0
11/30/22,0
12/31/22,0
1/31/23,0
2/28/23,765.91068
3/31/23,0
4/30/23,0
5/31/23,0
6/30/23,0
7/31/23,0
8/31/23,147.1751274
9/30/23,0
10/31/23,0
11/30/23,0
12/31/23,0
1/31/24,0
2/29/24,0
3/31/24,65.23475257
4/30/24,0
5/31/24,0
6/30/24,0
7/31/24,0
8/31/24,0
9/30/24,0
10/31/24,0
11/30/24,0
12/31/24,0
1/31/25,33.6243
2/28/25,0
3/31/25,707.63902
4/30/25,0
5/31/25,0
6/30/25,0
7/31/25,0
8/31/25,0
9/30/25,0
10/31/25,0
11/30/25,0
12/31/25,0
1/31/26,0
2/28/26,1687.977108
3/31/26,0
4/30/26,0
5/31/26,515.3842864
6/30/26,0
7/31/26,0
8/31/26,0
9/30/26,0
10/31/26,0
11/30/26,0
12/31/26,0
1/31/27,0
2/28/27,0
3/31/27,0
4/30/27,0
5/31/27,0
6/30/27,0
7/31/27,0
8/31/27,0
9/30/27,0
10/31/27,0
11/30/27,0
12/31/27,0
1/31/28,0
2/29/28,0
3/31/28,0
4/30/28,0
5/31/28,0
6/30/28,9.677129576
7/31/28,0
8/31/28,204.7065
9/30/28,0
10/31/28,113.64425
11/30/28,0
12/31/28,0
1/31/29,0
2/28/29,0
3/31/29,0
4/30/29,348.06491
5/31/29,187.5322864
6/30/29,0
7/31/29,199.4230096
8/31/29,0
9/30/29,0
10/31/29,0
11/30/29,0
12/31/29,261.6412147
1/31/30,0
2/28/30,0
3/31/30,0
4/30/30,191.02191
5/31/30,298.42501
6/30/30,374.4821296
7/31/30,0
8/31/30,173.9625
9/30/30,0
10/31/30,0
11/30/30,0
12/31/30,0
1/31/31,51.8343
2/28/31,0
3/31/31,0
4/30/31,279.00391
5/31/31,128.16401
6/30/31,0
7/31/31,0
8/31/31,85.67312744
9/30/31,0
10/31/31,0
11/30/31,0
12/31/31,0
1/31/32,0
2/29/32,0
3/31/32,0
4/30/32,0
5/31/32,226.73901
6/30/32,542.2831296
7/31/32,0
8/31/32,116.4161274
9/30/32,0
10/31/32,0
11/30/32,0
12/31/32,0
1/31/33,44.0343
2/28/33,0
3/31/33,0
4/30/33,0
5/31/33,322.27901
6/30/33,309.5611296
7/31/33,0
8/31/33,0
9/30/33,0
10/31/33,0
11/30/33,0
12/31/33,0
1/31/34,0
2/28/34,0
3/31/34,0
4/30/34,0
5/31/34,0
6/30/34,161.8196296
7/31/34,0
8/31/34,0
9/30/34,0
10/31/34,0
11/30/34,0
