date,kaf
10/31/21,251.43675
11/30/21,271.09442
12/31/21,1050.24658
1/31/22,757.3018412
2/28/22,2310.902834
3/31/22,1563.888802
4/30/22,1276.042603
5/31/22,2133.502602
6/30/22,1736.467324
7/31/22,491.898
8/31/22,245.949
9/30/22,808.88
10/31/22,374.688
11/30/22,660.12
12/31/22,1070.567475
1/31/23,1134.023304
2/28/23,869.251
3/31/23,573.046
4/30/23,626.7829899
5/31/23,510.939
6/30/23,355.833
7/31/23,399.667
8/31/23,245.949
9/30/23,188.71407
10/31/23,251.43675
11/30/23,268.09442
12/31/23,278.71226
1/31/24,276.693
2/29/24,435.486
3/31/24,591.071
4/30/24,316.114
5/31/24,245.949
6/30/24,238.015
7/31/24,245.949
8/31/24,184.462
9/30/24,189.71407
10/31/24,186.94975
11/30/24,211.59042
12/31/24,274.9655985
1/31/25,132.653
2/28/25,3596.853225
3/31/25,804.789
4/30/25,699.3630507
5/31/25,561.815
6/30/25,330.593
7/31/25,307.436
8/31/25,215.205
9/30/25,189.71407
10/31/25,251.43675
11/30/25,271.09442
12/31/25,333.9969607
1/31/26,450.5852654
2/28/26,2159.038428
3/31/26,769.582
4/30/26,434.427
5/31/26,598.404
6/30/26,306.816
7/31/26,317.4184904
8/31/26,215.205
9/30/26,189.71407
10/31/26,248.43675
11/30/26,713.8211274
12/31/26,1037.298047
1/31/27,2215.750372
2/28/27,6088.081154
3/31/27,2671.789814
4/30/27,2726.089246
5/31/27,977.846
6/30/27,305.453
7/31/27,491.898
8/31/27,245.949
9/30/27,1194.725
10/31/27,470.762
11/30/27,948.342
12/31/27,356.5718053
1/31/28,728.5853323
2/29/28,1626.645986
3/31/28,4412.891785
4/30/28,799.4984532
5/31/28,524.823
6/30/28,57.672
7/31/28,619.2804904
8/31/28,245.949
9/30/28,688.013
10/31/28,365.081
11/30/28,632.228
12/31/28,282.71226
1/31/29,276.693
2/28/29,445.485
3/31/29,554.179
4/30/29,457.659
5/31/29,257.48
6/30/29,431.006
7/31/29,245.949
8/31/29,184.462
9/30/29,189.71407
10/31/29,189.94975
11/30/29,208.59042
12/31/29,479.8654747
1/31/30,650.8151478
2/28/30,507.3963337
3/31/30,1594.11136
4/30/30,305.049
5/31/30,416.527
6/30/30,422.477
7/31/30,307.436
8/31/30,215.205
9/30/30,189.71407
10/31/30,249.43675
11/30/30,269.09442
12/31/30,276.71226
1/31/31,171.063
2/28/31,462.592
3/31/31,453.617
4/30/31,391.671
5/31/31,245.949
6/30/31,238.015
7/31/31,245.949
8/31/31,184.462
9/30/31,189.71407
10/31/31,189.94975
11/30/31,211.59042
12/31/31,591.4699112
1/31/32,734.1519568
2/29/32,539.8307696
3/31/32,662.909
4/30/32,663.666
5/31/32,345.743
6/30/32,590.278
7/31/32,307.436
8/31/32,215.205
9/30/32,189.71407
10/31/32,251.43675
11/30/32,268.09442
12/31/32,279.71226
1/31/33,171.063
2/28/33,328.882
3/31/33,445.088
4/30/33,554.501
5/31/33,440.997
6/30/33,357.556
7/31/33,245.949
8/31/33,184.462
9/30/33,189.71407
10/31/33,188.94975
11/30/33,208.59042
12/31/33,230.4063218
1/31/34,526.2017771
2/28/34,633.12
3/31/34,653.302
4/30/34,575.6
5/31/34,436.56
6/30/34,209.5355
7/31/34,245.949
8/31/34,184.462
9/30/34,189.71407
10/31/34,184.462
11/30/34,213.59042
12/31/34,432.8972261
1/31/35,1371.77081
2/28/35,321.0714333
3/31/35,1468.696144
4/30/35,3147.887788
5/31/35,914.623
6/30/35,496.336
7/31/35,220.587
8/31/35,245.949
9/30/35,189.71407
10/31/35,249.43675
11/30/35,268.09442
12/31/35,395.9570211
1/31/36,2411.456596
2/29/36,4615.33045
3/31/36,1739.368684
4/30/36,778.3649224
5/31/36,670.657
6/30/36,383.279
7/31/36,399.667
8/31/36,245.949
9/30/36,189.71407
10/31/36,248.43675
11/30/36,268.09442
12/31/36,397.1625568
1/31/37,304.7852654
2/28/37,2286.337587
3/31/37,2871.109284
4/30/37,951.4104773
5/31/37,819.3538367
6/30/37,629.315
7/31/37,399.667
8/31/37,169.359228
9/30/37,189.71407
10/31/37,250.43675
11/30/37,1136.093475
12/31/37,4428.844915
1/31/38,2626.836961
2/28/38,7105.683646
3/31/38,8756.9939
4/30/38,4683.748491
5/31/38,4078.202674
6/30/38,2219.620612
7/31/38,491.898
8/31/38,205.189
9/30/38,1227.266
10/31/38,461.154
11/30/38,815.567
12/31/38,277.71226
1/31/39,276.693
2/28/39,462.592
3/31/39,462.146
4/30/39,396.52
5/31/39,245.949
6/30/39,238.015
7/31/39,322.0574904
8/31/39,215.205
9/30/39,189.71407
10/31/39,249.43675
11/30/39,268.09442
12/31/39,298.1856964
1/31/40,2020.550427
2/29/40,3207.273369
3/31/40,6115.624207
4/30/40,4119.924774
5/31/40,262.313
6/30/40,355.114
7/31/40,434.0959904
8/31/40,245.949
9/30/40,688.013
10/31/40,365.081
11/30/40,632.228
12/31/40,2621.264883
1/31/41,5584.649035
2/28/41,6334.836718
3/31/41,5600.480226
4/30/41,4049.976835
5/31/41,2042.037704
6/30/41,424.956
7/31/41,415.308
8/31/41,245.949
9/30/41,1245.861
10/31/41,470.762
11/30/41,837.866
12/31/41,3796.248085
1/31/42,4233.156448
2/28/42,6913.244986
3/31/42,1399.296112
4/30/42,2725.217591
5/31/42,1547.02068
6/30/42,915.8544934
7/31/42,346.678
8/31/42,245.949
9/30/42,1255.158
10/31/42,441.94
11/30/42,966.937
12/31/42,1490.302309
1/31/43,4317.823763
2/28/43,3140.531928
3/31/43,5078.398176
4/30/43,1443.970474
5/31/43,472.46
6/30/43,295.635
7/31/43,651.6404904
8/31/43,245.949
9/30/43,1152.886
10/31/43,461.154
11/30/43,740.921
12/31/43,378.4756911
1/31/44,336.0160224
2/29/44,867.3101058
3/31/44,602.3409203
4/30/44,474.989
5/31/44,245.949
6/30/44,387.271
7/31/44,307.436
8/31/44,215.205
9/30/44,189.71407
10/31/44,250.43675
11/30/44,354.3101043
12/31/44,839.5865257
1/31/45,276.693
2/28/45,3364.954051
3/31/45,1400.183252
4/30/45,448.882
5/31/45,439.473
6/30/45,405.246
7/31/45,208.7597904
8/31/45,245.949
9/30/45,189.71407
10/31/45,250.43675
11/30/45,270.09442
12/31/45,3733.790946
1/31/46,2581.815937
2/28/46,835.037
3/31/46,993.7864426
4/30/46,546.468
5/31/46,534.741
6/30/46,199.637
7/31/46,413.7014904
8/31/46,245.949
9/30/46,189.71407
10/31/46,250.43675
11/30/46,273.09442
12/31/46,547.6255429
