date,
10/31/21,251.436783
11/30/21,271.094543
12/31/21,707.95459
1/31/22,881.437927
2/28/22,2435.583496
3/31/22,1552.127319
4/30/22,1252.864136
5/31/22,2099.252197
6/30/22,1786.883667
7/31/22,491.898071
8/31/22,245.949036
9/30/22,808.879822
10/31/22,374.687988
11/30/22,660.1203
12/31/22,1064.292969
1/31/23,1064.170776
2/28/23,869.251404
3/31/23,573.046326
4/30/23,689.070068
5/31/23,510.939301
6/30/23,355.832733
7/31/23,399.667175
8/31/23,245.949036
9/30/23,188.714462
10/31/23,251.436783
11/30/23,268.094543
12/31/23,278.711914
1/31/24,276.692657
2/29/24,435.485748
3/31/24,591.071045
4/30/24,316.113953
5/31/24,245.949036
6/30/24,238.015198
7/31/24,245.949036
8/31/24,184.461777
9/30/24,189.714462
10/31/24,186.949524
11/30/24,211.590729
12/31/24,222.224655
1/31/25,132.652657
2/28/25,3594.523438
3/31/25,804.788879
4/30/25,718.421692
5/31/25,561.815002
6/30/25,330.593201
7/31/25,307.436279
8/31/25,215.205399
9/30/25,189.714462
10/31/25,251.436783
11/30/25,271.094543
12/31/25,278.711914
1/31/26,423.388214
2/28/26,2203.516396
3/31/26,769.582458
4/30/26,434.427338
5/31/26,598.404127
6/30/26,306.816467
7/31/26,317.418335
8/31/26,215.205399
9/30/26,189.714462
10/31/26,248.436783
11/30/26,740.99469
12/31/26,713.594666
1/31/27,2306.18335
2/28/27,6152.059082
3/31/27,2670.050537
4/30/27,2715.014404
5/31/27,977.845703
6/30/27,305.45285
7/31/27,491.898071
8/31/27,245.949036
9/30/27,1194.724731
10/31/27,470.76181
11/30/27,948.341858
12/31/27,350.29718
1/31/28,724.889465
2/29/28,1643.87207
3/31/28,4405.955566
4/30/28,808.02179
5/31/28,524.823486
6/30/28,57.672499
7/31/28,619.280823
8/31/28,245.949036
9/30/28,688.012695
10/31/28,365.080597
11/30/28,632.227905
12/31/28,282.711914
1/31/29,276.692657
2/28/29,445.485138
3/31/29,554.178711
4/30/29,457.6586
5/31/29,257.47954
6/30/29,431.00589
7/31/29,245.949036
8/31/29,184.461777
9/30/29,189.714462
10/31/29,189.949524
11/30/29,208.590729
12/31/29,473.591278
1/31/30,647.039795
2/28/30,503.950378
3/31/30,1650.840332
4/30/30,305.049075
5/31/30,416.526581
6/30/30,422.47699
7/31/30,307.436279
8/31/30,215.205399
9/30/30,189.714462
10/31/30,249.436783
11/30/30,269.094543
12/31/30,276.711914
1/31/31,171.062657
2/28/31,462.592438
3/31/31,453.617279
4/30/31,391.671368
5/31/31,245.949036
6/30/31,238.015198
7/31/31,245.949036
8/31/31,184.461777
9/30/31,189.714462
10/31/31,189.949524
11/30/31,211.590729
12/31/31,585.194519
1/31/32,732.025879
2/29/32,501.986359
3/31/32,662.909485
4/30/32,663.66571
5/31/32,345.743486
6/30/32,590.27771
7/31/32,307.436279
8/31/32,215.205399
9/30/32,189.714462
10/31/32,251.436783
11/30/32,268.094543
12/31/32,279.711914
1/31/33,171.062657
2/28/33,328.882477
3/31/33,445.088379
4/30/33,554.501038
5/31/33,440.997498
6/30/33,357.55589
7/31/33,245.949036
8/31/33,184.461777
9/30/33,189.714462
10/31/33,188.949524
11/30/33,208.590729
12/31/33,230.402649
1/31/34,526.320312
2/28/34,633.120422
3/31/34,653.302124
4/30/34,575.600098
5/31/34,436.55954
6/30/34,209.53549
7/31/34,245.949036
8/31/34,184.461777
9/30/34,189.714462
10/31/34,184.461777
11/30/34,213.590729
12/31/34,222.224655
1/31/35,1516.740723
2/28/35,430.144043
3/31/35,1470.445435
4/30/35,3156.951904
5/31/35,914.622925
6/30/35,496.33609
7/31/35,220.587175
8/31/35,245.949036
9/30/35,189.714462
10/31/35,249.436783
11/30/35,268.094543
12/31/35,279.711914
1/31/36,2526.279541
2/29/36,4714.443809
3/31/36,1739.690186
4/30/36,802.230591
5/31/36,670.657349
6/30/36,383.27887
7/31/36,399.667175
8/31/36,245.949036
9/30/36,189.714462
10/31/36,248.436783
11/30/36,268.094543
12/31/36,285.711914
1/31/37,444.209564
2/28/37,2305.666016
3/31/37,2859.400146
4/30/37,953.610779
5/31/37,823.901794
6/30/37,629.314697
7/31/37,399.667175
8/31/37,169.359264
9/30/37,189.714462
10/31/37,250.436783
11/30/37,1216.494385
12/31/37,4334.461426
1/31/38,2733.656982
2/28/38,7173.801362
3/31/38,8757.974609
4/30/38,4715.017578
5/31/38,4084.980469
6/30/38,2220.30835
7/31/38,491.898071
8/31/38,205.189036
9/30/38,1227.265869
10/31/38,461.154419
11/30/38,815.567322
12/31/38,277.711914
1/31/39,276.692657
2/28/39,462.592438
3/31/39,462.146149
4/30/39,396.520098
5/31/39,245.949036
6/30/39,238.015198
7/31/39,322.058105
8/31/39,215.205399
9/30/39,189.714462
10/31/39,249.436783
11/30/39,268.094543
12/31/39,278.711914
1/31/40,2182.316162
2/29/40,3368.964111
3/31/40,6115.753418
4/30/40,4150.017578
5/31/40,262.312561
6/30/40,355.113708
7/31/40,434.096785
8/31/40,245.949036
9/30/40,688.012695
10/31/40,365.080597
11/30/40,632.227905
12/31/40,2353.084961
1/31/41,5701.272461
2/28/41,6410.723516
3/31/41,5600.895508
4/30/41,4055.958008
5/31/41,2056.75293
6/30/41,424.956299
7/31/41,415.308071
8/31/41,245.949036
9/30/41,1245.86084
10/31/41,470.76181
11/30/41,837.865601
12/31/41,3666.619385
1/31/42,4355.015137
2/28/42,6948.115234
3/31/42,1401.835815
4/30/42,2757.164551
5/31/42,1548.021983
6/30/42,913.359009
7/31/42,346.678071
8/31/42,245.949036
9/30/42,1255.158325
10/31/42,441.939667
11/30/42,966.936768
12/31/42,1380.918823
1/31/43,4433.070176
2/28/43,3180.056152
3/31/43,5081.776358
4/30/43,1449.655884
5/31/43,472.460175
6/30/43,295.634836
7/31/43,651.641418
8/31/43,245.949036
9/30/43,1152.886108
10/31/43,461.154419
11/30/43,740.921448
12/31/43,279.711914
1/31/44,306.474335
2/29/44,826.189697
3/31/44,626.633728
4/30/44,474.989105
5/31/44,245.949036
6/30/44,387.270569
7/31/44,307.436279
8/31/44,215.205399
9/30/44,189.714462
10/31/44,250.436783
11/30/44,436.549072
12/31/44,557.55127
1/31/45,398.582336
2/28/45,3529.469482
3/31/45,1411.5802
4/30/45,448.881805
5/31/45,439.472717
6/30/45,405.245667
7/31/45,208.760315
8/31/45,245.949036
9/30/45,189.714462
10/31/45,250.436783
11/30/45,270.094543
12/31/45,3512.112793
1/31/46,2555.351562
2/28/46,835.036682
3/31/46,998.122375
4/30/46,546.468018
5/31/46,534.740784
6/30/46,199.636919
7/31/46,413.702576
8/31/46,245.949036
9/30/46,189.714462
10/31/46,250.436783
11/30/46,273.094543
12/31/46,386.04895
1/31/47,276.692657
2/28/47,690.454773
3/31/47,1031.735596
4/30/47,421.361298
5/31/47,191.827013
6/30/47,422.47699
7/31/47,307.436279
8/31/47,215.205399
9/30/47,189.714462
10/31/47,248.436783
11/30/47,269.094543
12/31/47,277.711914
1/31/48,301.512909
2/29/48,618.948914
3/31/48,582.865967
4/30/48,1578.652222
5/31/48,754.706482
6/30/48,206.10428
7/31/48,399.667175
8/31/48,245.949036
9/30/48,189.714462
10/31/48,250.436783
11/30/48,268.094543
12/31/48,283.711914
1/31/49,276.692657
2/28/49,436.956238
3/31/49,2254.927979
4/30/49,444.419006
5/31/49,541.692827
6/30/49,399.468872
7/31/49,307.436279
8/31/49,215.205399
9/30/49,189.714462
10/31/49,251.436783
11/30/49,270.094543
12/31/49,279.711914
1/31/50,659.615051
2/28/50,1992.535645
3/31/50,1149.735352
4/30/50,785.035645
5/31/50,723.46698
6/30/50,423.964569
7/31/50,399.667175
8/31/50,66.869036
9/30/50,189.714462
10/31/50,249.436783
11/30/50,2750.974121
12/31/50,6110.61998
1/31/51,4162.747559
2/28/51,3851.117188
3/31/51,1514.782715
4/30/51,430.341888
5/31/51,522.684814
6/30/51,300.494202
7/31/51,608.546631
8/31/51,245.949036
9/30/51,641.52533
10/31/51,258.290132
11/30/51,579.772935
12/31/51,2475.459473
1/31/52,4713.915547
2/29/52,4002.591553
3/31/52,4214.970293
4/30/52,3461.207773
5/31/52,3686.634766
6/30/52,2022.907349
7/31/52,491.898071
8/31/52,245.949036
9/30/52,1208.671021
10/31/52,528.406128
11/30/52,787.020447
12/31/52,2690.130615
1/31/53,4851.19873
2/28/53,933.083008
3/31/53,903.864868
4/30/53,760.855286
5/31/53,960.863647
6/30/53,282.063646
7/31/53,491.898071
8/31/53,245.949036
9/30/53,1171.481079
10/31/53,499.583954
11/30/53,920.449402
12/31/53,277.711914
1/31/54,932.501343
2/28/54,2446.864014
3/31/54,2549.200928
4/30/54,1954.935425
5/31/54,616.856018
6/30/54,389.154846
7/31/54,446.287798
8/31/54,245.949036
9/30/54,678.71521
10/31/54,384.295349
11/30/54,613.632935
12/31/54,780.900818
1/31/55,726.729858
2/28/55,494.625336
3/31/55,421.361267
4/30/55,369.952496
5/31/55,366.617767
6/30/55,385.435883
7/31/55,307.436279
8/31/55,223.612015
9/30/55,189.714462
10/31/55,251.436783
11/30/55,270.094543
12/31/55,5194.265078
1/31/56,9147.578125
2/29/56,4551.037109
3/31/56,2389.475098
4/30/56,1169.368286
5/31/56,1820.672729
6/30/56,763.246704
7/31/56,491.898071
8/31/56,136.059036
9/30/56,1245.86084
10/31/56,480.369202
11/30/56,809.720337
12/31/56,276.711914
1/31/57,347.994171
2/28/57,1151.855103
3/31/57,1886.137573
4/30/57,509.501312
5/31/57,443.296204
6/30/57,290.081024
7/31/57,594.43219
8/31/57,245.949036
9/30/57,706.607666
10/31/57,365.080597
11/30/57,389.06563
12/31/57,1660.377808
1/31/58,3110.707031
2/28/58,7724.972168
3/31/58,5874.448691
4/30/58,5716.318848
5/31/58,2595.115234
6/30/58,1546.556763
7/31/58,491.898071
8/31/58,245.949036
9/30/58,1078.506348
10/31/58,566.835632
11/30/58,802.627808
12/31/58,277.711914
1/31/59,1010.348816
2/28/59,2020.413696
3/31/59,613.38501
4/30/59,201.248461
5/31/59,341.477417
6/30/59,321.841288
7/31/59,552.612122
8/31/59,245.949036
9/30/59,189.714462
10/31/59,251.436783
11/30/59,268.094543
12/31/59,278.711914
1/31/60,276.692657
2/29/60,1361.819214
3/31/60,1346.942505
4/30/60,517.610308
5/31/60,368.923553
6/30/60,346.163361
7/31/60,359.985046
8/31/60,215.205399
9/30/60,189.714462
10/31/60,251.436783
11/30/60,278.094543
12/31/60,380.763794
1/31/61,276.692657
2/28/61,1037.435181
3/31/61,673.674438
4/30/61,527.203674
5/31/61,357.320312
6/30/61,422.47699
7/31/61,151.690996
8/31/61,266.278534
9/30/61,189.714462
10/31/61,251.436783
11/30/61,274.094543
12/31/61,530.832275
1/31/62,276.692657
2/28/62,3189.670898
3/31/62,1233.565063
4/30/62,471.443634
5/31/62,557.228271
6/30/62,326.080841
7/31/62,507.884094
8/31/62,245.949036
9/30/62,189.714462
10/31/62,1118.255737
11/30/62,377.243256
12/31/62,1339.767212
1/31/63,1182.619629
2/28/63,3883.930908
3/31/63,1840.291016
4/30/63,3869.449297
5/31/63,1236.14563
6/30/63,504.542664
7/31/63,435.85103
8/31/63,245.949036
9/30/63,1194.724731
10/31/63,480.369202
11/30/63,929.746887
12/31/63,277.711914
1/31/64,657.932312
2/29/64,376.310272
3/31/64,472.460175
4/30/64,420.815857
5/31/64,440.997498
6/30/64,431.00589
7/31/64,154.491463
8/31/64,215.205399
9/30/64,189.714462
10/31/64,249.436783
11/30/64,453.066498
12/31/64,4492.680664
1/31/65,6207.490586
2/28/65,1807.913574
3/31/65,737.372253
4/30/65,2551.899902
5/31/65,709.992981
6/30/65,305.651184
7/31/65,498.611176
8/31/65,245.949036
9/30/65,1190.07605
10/31/65,480.369202
11/30/65,920.449402
12/31/65,433.760498
1/31/66,1294.601074
2/28/66,950.21051
3/31/66,674.066406
4/30/66,296.434443
5/31/66,573.095947
6/30/66,382.113556
7/31/66,499.939545
8/31/66,245.949036
9/30/66,189.714462
10/31/66,251.436783
11/30/66,476.254181
12/31/66,1507.978867
1/31/67,3126.458984
2/28/67,2897.111328
3/31/67,3179.861816
4/30/67,2888.308066
5/31/67,2540.182373
6/30/67,1950.598389
7/31/67,807.587341
8/31/67,245.949036
9/30/67,1152.886108
10/31/67,509.191345
11/30/67,814.983154
12/31/67,297.327271
1/31/68,1465.931885
2/29/68,2614.562012
3/31/68,1787.012451
4/30/68,409.832428
5/31/68,330.432007
6/30/68,316.113953
7/31/68,340.688442
8/31/68,245.949036
9/30/68,189.714462
10/31/68,251.436783
11/30/68,340.915802
12/31/68,1914.501343
1/31/69,6473.335879
2/28/69,7098.701172
3/31/69,4257.50293
4/30/69,3222.814639
5/31/69,3411.852861
6/30/69,1815.735107
7/31/69,491.898071
8/31/69,245.949036
9/30/69,1310.943115
10/31/69,441.939667
11/30/69,1791.97998
12/31/69,3543.344238
1/31/70,10604.11861
2/28/70,4136.742676
3/31/70,2229.529541
4/30/70,453.716492
5/31/70,245.949036
6/30/70,293.552094
7/31/70,658.375183
8/31/70,245.949036
9/30/70,976.438804
10/31/70,518.798706
11/30/70,911.151978
12/31/70,2500.817383
1/31/71,2512.345703
2/28/71,1179.771484
3/31/71,2488.119873
4/30/71,1419.538208
5/31/71,933.494341
6/30/71,313.399078
7/31/71,491.898071
8/31/71,245.949036
9/30/71,1134.29126
10/31/71,518.798706
11/30/71,855.777771
12/31/71,500.755829
1/31/72,418.254761
2/29/72,809.297607
3/31/72,1109.875732
4/30/72,621.070923
5/31/72,238.934191
6/30/72,409.683685
7/31/72,505.344513
8/31/72,245.949036
9/30/72,188.714462
10/31/72,254.436783
11/30/72,645.934937
12/31/72,1324.440063
1/31/73,4559.555176
2/28/73,4091.933594
3/31/73,3276.315918
4/30/73,383.074341
5/31/73,395.10689
6/30/73,571.236511
7/31/73,513.301941
8/31/73,245.949036
9/30/73,697.310181
10/31/73,428.424805
11/30/73,3412.780762
12/31/73,3981.910645
1/31/74,7186.561523
2/28/74,3484.201416
3/31/74,4917.147461
4/30/74,4117.178223
5/31/74,957.249695
6/30/74,398.933306
7/31/74,491.898071
8/31/74,245.949036
9/30/74,1115.696289
10/31/74,518.798706
11/30/74,858.413879
12/31/74,334.895996
1/31/75,309.639984
2/28/75,3209.793457
3/31/75,4127.717285
4/30/75,1313.478027
5/31/75,1501.657715
6/30/75,716.722778
7/31/75,491.898071
8/31/75,67.869036
9/30/75,1134.29126
10/31/75,518.798706
11/30/75,929.746887
12/31/75,276.711914
1/31/76,276.692657
2/29/76,443.72052
3/31/76,309.652819
4/30/76,463.832123
5/31/76,245.949036
6/30/76,238.015198
7/31/76,245.949036
8/31/76,184.461777
9/30/76,188.714462
10/31/76,188.949524
11/30/76,208.590729
12/31/76,217.224655
1/31/77,276.692657
2/28/77,291.271118
3/31/77,445.088379
4/30/77,422.47699
5/31/77,245.949036
6/30/77,238.015198
7/31/77,67.869036
8/31/77,184.461777
9/30/77,189.714462
10/31/77,184.461777
11/30/77,211.590729
12/31/77,518.364868
1/31/78,4150.062012
2/28/78,3210.759033
3/31/78,4800.135254
4/30/78,2416.04127
5/31/78,929.033875
6/30/78,489.27771
7/31/78,491.898071
8/31/78,245.949036
9/30/78,688.012695
10/31/78,365.080597
11/30/78,598.367905
12/31/78,276.711914
1/31/79,1146.972656
2/28/79,2275.946533
