date,kaf
10/31/21,0
11/30/21,0
12/31/21,0
1/31/22,0
2/28/22,153.55629
3/31/22,3.14
4/30/22,0
5/31/22,0
6/30/22,46.78738
7/31/22,445.371796
8/31/22,204.706528
9/30/22,619.165344
10/31/22,0
11/30/22,387.025757
12/31/22,0
1/31/23,0
2/28/23,0
3/31/23,3.14
4/30/23,571.759155
5/31/23,443.803711
6/30/23,307.850098
7/31/23,353.1409
8/31/23,183.775314
9/30/23,0
10/31/23,0
11/30/23,0
12/31/23,0
1/31/24,177.667984
2/29/24,0
3/31/24,124.02726
4/30/24,0
5/31/24,175.831772
6/30/24,190.020416
7/31/24,199.422775
8/31/24,122.272896
9/30/24,0
10/31/24,0
11/30/24,0
12/31/24,0
1/31/25,33.627984
2/28/25,0
3/31/25,3.14
4/30/25,0
5/31/25,507.012695
6/30/25,282.821259
7/31/25,260.913879
8/31/25,153.031509
9/30/25,0
10/31/25,0
11/30/25,0
12/31/25,0
1/31/26,116.584512
2/28/26,0
3/31/26,3.14
4/30/26,131.950562
5/31/26,556.394606
6/30/26,258.870544
7/31/26,270.892059
8/31/26,116.422417
9/30/26,0
10/31/26,0
11/30/26,0
12/31/26,0
1/31/27,0
2/28/27,0
3/31/27,3.14
4/30/27,0
5/31/27,0
6/30/27,257.776062
7/31/27,445.371796
8/31/27,183.760162
9/30/27,1005.010254
10/31/27,0
11/30/27,0
12/31/27,0
1/31/28,0
2/29/28,0
3/31/28,3.14
4/30/28,0
5/31/28,0
6/30/28,9.677717
7/31/28,572.754517
8/31/28,147.160156
9/30/28,498.298218
10/31/28,0
11/30/28,99.823212
12/31/28,0
1/31/29,177.499725
2/28/29,0
3/31/29,3.14
4/30/29,0
5/31/29,213.942125
6/30/29,383.659882
7/31/29,199.422775
8/31/29,85.672897
9/30/29,0
10/31/29,0
11/30/29,0
12/31/29,0
1/31/30,0
2/28/30,0
3/31/30,3.14
4/30/30,191.025271
5/31/30,347.621918
6/30/30,374.482208
7/31/30,260.910004
8/31/30,116.416519
9/30/30,0
10/31/30,0
11/30/30,0
12/31/30,0
1/31/31,51.838063
2/28/31,0
3/31/31,3.14
4/30/31,279.00755
5/31/31,177.360901
6/30/31,190.332672
7/31/31,199.422775
8/31/31,143.219269
9/30/31,0
10/31/31,0
11/30/31,0
12/31/31,0
1/31/32,0
2/29/32,0
3/31/32,3.14
4/30/32,553.609863
5/31/32,226.742998
6/30/32,542.282959
7/31/32,260.910004
8/31/32,153.016525
9/30/32,0
10/31/32,0
11/30/32,0
12/31/32,0
1/31/33,44.038106
2/28/33,0
3/31/33,3.14
4/30/33,0
5/31/33,0
6/30/33,309.561108
7/31/33,199.422775
8/31/33,136.872894
9/30/33,0
10/31/33,0
11/30/33,0
