date,kaf
10/31/21,38.699833
11/30/21,58.441158
12/31/21,68.171427
1/31/22,60.390626
2/28/22,90.230013
3/31/22,69.785627
4/30/22,29.785143
5/31/22,34.206039
6/30/22,25.048101
7/31/22,6.46811
8/31/22,4.909331
9/30/22,9.33952
10/31/22,12.634835
11/30/22,50.410066
12/31/22,76.087702
1/31/23,67.779224
2/28/23,52.416327
3/31/23,56.464965
4/30/23,31.871054
5/31/23,20.03446
6/30/23,13.34059
7/31/23,8.53934
8/31/23,7.473077
9/30/23,12.095252
10/31/23,12.483922
11/30/23,42.736241
12/31/23,44.705997
1/31/24,46.66668
2/29/24,48.079995
3/31/24,48.373287
4/30/24,9.497423
5/31/24,9.418504
6/30/24,5.04714
7/31/24,6.293324
8/31/24,6.998302
9/30/24,9.821263
10/31/24,15.290027
11/30/24,48.068272
12/31/24,55.264155
1/31/25,50.61007
2/28/25,77.163214
3/31/25,58.949581
4/30/25,28.12932
5/31/25,22.516556
6/30/25,10.811369
7/31/25,5.717941
8/31/25,6.231887
9/30/25,10.090146
10/31/25,11.899445
11/30/25,44.857779
12/31/25,47.121038
1/31/26,50.907151
2/28/26,65.959955
3/31/26,53.625721
4/30/26,27.994635
5/31/26,9.304439
6/30/26,3.359747
7/31/26,5.545059
8/31/26,7.907619
9/30/26,11.515067
10/31/26,12.416188
11/30/26,63.587322
12/31/26,48.667542
1/31/27,60.208826
2/28/27,73.812864
3/31/27,63.847788
4/30/27,30.579971
5/31/27,20.337038
6/30/27,18.82135
7/31/27,8.095912
8/31/27,8.564919
9/30/27,12.685517
10/31/27,14.654176
11/30/27,53.652345
12/31/27,52.275034
1/31/28,52.048964
2/29/28,53.768383
3/31/28,77.899935
4/30/28,23.958685
5/31/28,17.305099
6/30/28,6.662255
7/31/28,8.218582
8/31/28,9.247621
9/30/28,13.174622
10/31/28,13.64123
11/30/28,51.433845
12/31/28,52.381603
1/31/29,51.09226
2/28/29,52.378758
3/31/29,55.805826
4/30/29,19.124634
5/31/29,21.829895
6/30/29,15.922797
7/31/29,9.451535
8/31/29,10.437071
9/30/29,13.423477
10/31/29,13.701347
11/30/29,47.409271
12/31/29,57.484341
1/31/30,57.050538
2/28/30,52.056191
3/31/30,59.961502
4/30/30,15.676051
5/31/30,17.982927
6/30/30,14.002237
7/31/30,11.565181
8/31/30,12.708568
9/30/30,17.498678
10/31/30,16.286753
11/30/30,48.382863
12/31/30,46.3025
1/31/31,53.482679
2/28/31,49.203604
3/31/31,53.285231
4/30/31,12.040896
5/31/31,11.104094
6/30/31,10.144456
7/31/31,13.429569
8/31/31,12.525802
9/30/31,13.68036
10/31/31,13.638479
11/30/31,48.207624
12/31/31,66.780954
1/31/32,56.152109
2/29/32,65.744553
3/31/32,63.006777
4/30/32,22.986277
5/31/32,23.99457
6/30/32,21.788603
7/31/32,12.764908
8/31/32,13.531395
9/30/32,18.357634
10/31/32,18.261826
11/30/32,49.83294
12/31/32,53.246304
1/31/33,59.571788
2/28/33,52.822258
3/31/33,63.642456
4/30/33,19.386263
5/31/33,17.640165
6/30/33,15.349102
7/31/33,13.06682
8/31/33,14.342278
9/30/33,17.120985
10/31/33,18.793736
11/30/33,48.648789
12/31/33,64.755619
1/31/34,57.63243
2/28/34,60.073418
3/31/34,59.166034
4/30/34,16.791361
5/31/34,14.618936
6/30/34,12.055393
7/31/34,15.209781
8/31/34,15.256605
9/30/34,18.382368
10/31/34,19.84811
11/30/34,56.486749
12/31/34,53.717747
1/31/35,65.683433
2/28/35,57.156277
3/31/35,66.204256
4/30/35,33.429554
5/31/35,24.316824
6/30/35,19.066561
7/31/35,11.642787
8/31/35,14.018305
9/30/35,18.456285
10/31/35,20.399282
11/30/35,51.37586
12/31/35,54.40708
1/31/36,69.292135
2/29/36,91.457094
3/31/36,71.12116
4/30/36,37.438953
5/31/36,23.170513
6/30/36,24.48369
7/31/36,16.405556
8/31/36,18.080383
9/30/36,22.614912
10/31/36,22.771534
11/30/36,52.905454
12/31/36,58.601694
1/31/37,62.291601
2/28/37,79.423182
3/31/37,89.084944
4/30/37,36.94949
5/31/37,26.56251
6/30/37,22.653847
7/31/37,18.322857
8/31/37,19.269278
9/30/37,23.307926
10/31/37,26.471704
11/30/37,62.299987
12/31/37,68.439673
1/31/38,66.303304
2/28/38,95.320932
3/31/38,99.888662
4/30/38,48.809757
5/31/38,38.028351
6/30/38,32.384129
7/31/38,21.635807
8/31/38,21.356537
9/30/38,26.048426
10/31/38,28.137121
11/30/38,58.905845
12/31/38,59.92705
1/31/39,60.22359
2/28/39,59.307367
3/31/39,67.938854
4/30/39,16.07317
5/31/39,16.626562
6/30/39,15.933199
7/31/39,19.604202
8/31/39,17.647617
9/30/39,24.477865
10/31/39,24.198324
11/30/39,54.693969
12/31/39,56.616322
1/31/40,79.641073
2/29/40,81.536974
3/31/40,75.811521
4/30/40,34.046471
5/31/40,27.503199
6/30/40,22.100792
7/31/40,19.21995
8/31/40,20.933475
9/30/40,25.034307
10/31/40,27.205805
11/30/40,57.833169
12/31/40,75.888403
1/31/41,73.11561
2/28/41,82.725023
3/31/41,79.774107
4/30/41,35.946461
5/31/41,36.865017
6/30/41,24.717737
7/31/41,20.440794
8/31/41,20.446329
9/30/41,25.184074
10/31/41,26.890472
11/30/41,59.43305
12/31/41,76.852762
1/31/42,83.501401
2/28/42,75.949324
3/31/42,74.380293
4/30/42,42.386997
5/31/42,38.630661
6/30/42,25.288486
7/31/42,19.357441
8/31/42,18.614561
9/30/42,24.995014
10/31/42,27.104765
11/30/42,65.424137
12/31/42,69.46105
1/31/43,84.775617
2/28/43,71.46665
3/31/43,97.421373
4/30/43,39.397194
5/31/43,23.44376
6/30/43,25.112947
7/31/43,21.662296
8/31/43,22.084679
9/30/43,27.063931
10/31/43,29.431013
11/30/43,59.720573
12/31/43,61.142237
1/31/44,63.445228
2/29/44,71.163622
3/31/44,70.329271
4/30/44,29.591856
5/31/44,23.056765
6/30/44,20.4104
7/31/44,19.662365
8/31/44,20.69726
9/30/44,25.555922
10/31/44,25.740601
11/30/44,66.268482
12/31/44,64.296085
1/31/45,60.029504
2/28/45,80.009214
3/31/45,70.114399
4/30/45,28.331589
5/31/45,29.696547
6/30/45,24.557495
7/31/45,18.272215
8/31/45,19.701992
9/30/45,24.56027
10/31/45,26.699511
11/30/45,61.293641
12/31/45,83.104323
1/31/46,66.748538
2/28/46,58.45105
3/31/46,67.690984
4/30/46,32.528698
5/31/46,28.407482
6/30/46,20.93191
7/31/46,19.321184
8/31/46,20.842413
9/30/46,23.921015
10/31/46,25.806726
11/30/46,60.669095
12/31/46,61.69879
1/31/47,58.417663
2/28/47,60.121878
3/31/47,65.564766
4/30/47,18.039106
5/31/47,20.366467
6/30/47,18.174631
7/31/47,20.193792
8/31/47,20.132681
9/30/47,22.608332
10/31/47,25.075619
11/30/47,54.745368
12/31/47,55.597447
1/31/48,58.984376
2/29/48,53.297865
3/31/48,65.497795
4/30/48,33.240898
5/31/48,28.878929
6/30/48,27.88146
7/31/48,17.049438
8/31/48,19.558577
9/30/48,22.01856
10/31/48,21.616976
11/30/48,53.66908
12/31/48,59.803904
1/31/49,55.771488
2/28/49,57.432587
3/31/49,78.844003
4/30/49,28.789078
5/31/49,25.325447
6/30/49,22.966425
7/31/49,19.450583
8/31/49,20.133003
9/30/49,22.362637
10/31/49,22.343285
11/30/49,56.299695
12/31/49,57.425909
1/31/50,69.843416
2/28/50,67.113401
3/31/50,67.610185
4/30/50,34.418823
5/31/50,32.047993
6/30/50,26.980362
7/31/50,20.690779
8/31/50,21.037575
9/30/50,25.114124
10/31/50,26.242126
11/30/50,85.282234
12/31/50,89.039499
1/31/51,80.005456
2/28/51,75.152151
3/31/51,75.197542
4/30/51,31.744894
5/31/51,28.220406
6/30/51,21.711823
7/31/51,22.407312
8/31/51,21.984716
9/30/51,26.905287
10/31/51,29.66033
11/30/51,64.297603
12/31/51,80.419024
1/31/52,92.475843
2/29/52,81.135462
3/31/52,89.936205
4/30/52,47.31488
5/31/52,39.385788
6/30/52,35.47744
7/31/52,27.363842
8/31/52,24.488131
9/30/52,32.332909
10/31/52,32.043484
11/30/52,64.99788
12/31/52,79.012095
1/31/53,79.688684
2/28/53,61.760141
3/31/53,70.635557
4/30/53,36.881798
5/31/53,29.261065
6/30/53,34.676636
7/31/53,23.936354
8/31/53,23.610443
9/30/53,29.937077
10/31/53,31.311161
11/30/53,63.807073
12/31/53,63.42976
1/31/54,72.158761
2/28/54,66.215904
3/31/54,74.666044
4/30/54,34.729767
5/31/54,26.183773
6/30/54,21.340473
7/31/54,24.434437
8/31/54,25.010365
9/30/54,27.127232
10/31/54,28.937551
11/30/54,64.419959
12/31/54,70.291506
1/31/55,71.81957
2/28/55,64.801966
3/31/55,66.009542
4/30/55,32.375267
5/31/55,28.537317
6/30/55,26.227968
7/31/55,26.818151
8/31/55,25.69838
9/30/55,29.710995
10/31/55,29.385441
11/30/55,62.134853
12/31/55,101.741324
1/31/56,97.877447
2/29/56,77.693689
3/31/56,77.819517
4/30/56,41.874134
5/31/56,39.828976
6/30/56,33.702728
7/31/56,26.227364
8/31/56,28.595873
9/30/56,37.344936
10/31/56,35.113304
11/30/56,65.531757
12/31/56,66.140818
1/31/57,66.405691
2/28/57,68.80863
3/31/57,81.701845
4/30/57,28.728514
5/31/57,30.502609
6/30/57,31.266579
7/31/57,27.98864
8/31/57,28.538454
9/30/57,32.698166
10/31/57,32.131989
11/30/57,61.397176
12/31/57,66.433765
1/31/58,73.159067
2/28/58,81.90555
3/31/58,93.384023
4/30/58,57.822136
5/31/58,44.377144
6/30/58,36.504982
7/31/58,27.820555
8/31/58,30.149721
9/30/58,38.760773
10/31/58,37.471783
11/30/58,64.96083
12/31/58,65.512243
1/31/59,75.905046
2/28/59,74.048285
3/31/59,73.082208
4/30/59,34.615719
5/31/59,25.429659
6/30/59,27.685324
7/31/59,28.749981
8/31/59,27.997011
9/30/59,37.033489
10/31/59,32.16634
11/30/59,61.993205
12/31/59,63.22917
1/31/60,69.500902
2/29/60,73.233667
3/31/60,74.690031
4/30/60,28.90057
5/31/60,24.627096
6/30/60,29.744825
7/31/60,30.035545
8/31/60,28.422661
9/30/60,30.075159
10/31/60,29.923889
11/30/60,67.9677
12/31/60,66.059589
1/31/61,64.897289
2/28/61,67.57754
3/31/61,71.026802
4/30/61,28.615791
5/31/61,25.165577
6/30/61,26.175974
7/31/61,28.833277
8/31/61,28.07019
9/30/61,28.293081
10/31/61,28.258675
11/30/61,63.79004
12/31/61,65.071627
1/31/62,63.693387
2/28/62,81.043203
3/31/62,76.867994
4/30/62,37.487244
5/31/62,28.633875
6/30/62,34.793392
7/31/62,33.023384
8/31/62,31.268955
9/30/62,33.560024
10/31/62,42.009163
11/30/62,62.14274
12/31/62,69.374827
1/31/63,67.226491
2/28/63,79.643046
3/31/63,74.882166
4/30/63,48.222683
5/31/63,38.20311
6/30/63,30.793648
7/31/63,30.320545
8/31/63,31.082428
9/30/63,35.840908
10/31/63,32.157417
11/30/63,72.213809
12/31/63,63.206266
1/31/64,68.806123
2/29/64,62.436527
3/31/64,68.826616
4/30/64,34.788536
5/31/64,29.700983
6/30/64,28.536217
7/31/64,34.109001
8/31/64,31.35393
9/30/64,34.93895
10/31/64,32.058743
11/30/64,67.253932
12/31/64,89.040278
1/31/65,87.521345
2/28/65,71.414454
3/31/65,73.769773
4/30/65,48.951546
5/31/65,38.072693
6/30/65,35.463718
7/31/65,34.648109
8/31/65,33.754047
9/30/65,41.386089
10/31/65,44.890545
11/30/65,79.214122
12/31/65,72.581446
1/31/66,75.5767
2/28/66,72.270285
3/31/66,76.023851
4/30/66,41.428391
5/31/66,30.281471
6/30/66,30.910646
7/31/66,34.380402
8/31/66,32.995792
9/30/66,38.814583
10/31/66,36.26075
11/30/66,76.705837
12/31/66,76.357702
1/31/67,85.13754
2/28/67,71.202322
3/31/67,88.563734
4/30/67,54.441177
5/31/67,43.904896
6/30/67,37.78569
7/31/67,35.618362
8/31/67,35.589344
9/30/67,48.811817
10/31/67,46.699627
11/30/67,70.347789
12/31/67,71.749632
1/31/68,76.806848
2/29/68,79.134123
3/31/68,79.582922
4/30/68,36.723866
5/31/68,31.13982
6/30/68,32.093132
7/31/68,35.94051
8/31/68,34.608158
9/30/68,40.328369
10/31/68,37.644329
11/30/68,71.135917
12/31/68,76.389643
1/31/69,98.500822
2/28/69,100.567419
3/31/69,98.359773
4/30/69,61.464108
5/31/69,42.821732
6/30/69,35.237366
7/31/69,39.421352
8/31/69,43.336926
9/30/69,54.100876
10/31/69,51.49955
11/30/69,76.705737
12/31/69,87.99917
1/31/70,103.987623
2/28/70,87.380262
3/31/70,91.13027
4/30/70,43.518143
5/31/70,32.176113
6/30/70,34.040031
7/31/70,38.895695
8/31/70,38.664898
9/30/70,48.542622
10/31/70,47.247971
11/30/70,87.721721
12/31/70,92.762667
1/31/71,83.861314
2/28/71,75.476057
3/31/71,88.214113
4/30/71,49.781597
5/31/71,33.663651
6/30/71,36.934029
7/31/71,39.294949
8/31/71,37.3055
9/30/71,48.233665
10/31/71,44.433311
11/30/71,72.955734
12/31/71,80.708036
1/31/72,75.248586
2/29/72,74.254316
3/31/72,83.162992
4/30/72,42.386318
5/31/72,31.284874
6/30/72,34.131733
7/31/72,38.442604
8/31/72,35.981739
9/30/72,46.381371
10/31/72,39.230312
11/30/72,77.562427
12/31/72,73.92333
1/31/73,92.650064
2/28/73,93.923102
3/31/73,93.705473
4/30/73,46.364487
5/31/73,34.595848
6/30/73,37.124992
7/31/73,40.768448
8/31/73,43.712811
9/30/73,54.386311
10/31/73,49.070545
11/30/73,98.440467
12/31/73,92.65716
1/31/74,93.406808
2/28/74,79.277777
3/31/74,105.580877
4/30/74,48.462543
5/31/74,42.889893
6/30/74,37.844795
7/31/74,47.187332
8/31/74,43.455811
9/30/74,54.606918
10/31/74,48.204491
11/30/74,78.385684
12/31/74,80.323156
1/31/75,74.308149
2/28/75,85.356569
3/31/75,94.788702
4/30/75,42.438602
5/31/75,39.937981
6/30/75,38.48344
7/31/75,40.220409
8/31/75,46.917095
9/30/75,51.595894
10/31/75,45.642029
11/30/75,74.983619
12/31/75,73.943106
1/31/76,69.976785
2/29/76,72.496782
3/31/76,65.153642
4/30/76,28.735001
5/31/76,32.705242
6/30/76,32.058624
7/31/76,34.85437
8/31/76,40.465866
9/30/76,41.796638
10/31/76,28.318542
11/30/76,68.78189
12/31/76,69.070883
1/31/77,71.241559
2/28/77,69.645952
3/31/77,71.441305
4/30/77,25.131332
5/31/77,23.186089
6/30/77,27.676493
7/31/77,29.55608
8/31/77,26.173929
9/30/77,32.902779
10/31/77,28.38129
11/30/77,66.381297
12/31/77,71.84862
1/31/78,80.182229
